,enter_time,leave_time
flow_0_170,1531.0,nan
flow_2_170,1531.0,nan
flow_1_171,1540.0,nan
flow_0_171,1540.0,nan
flow_3_171,1540.0,nan
flow_2_171,1540.0,nan
flow_2_172,1549.0,nan
flow_0_172,1549.0,nan
flow_3_172,1549.0,nan
flow_1_172,1549.0,nan
flow_2_173,1558.0,nan
flow_1_173,1558.0,nan
flow_0_173,1558.0,nan
flow_3_173,1558.0,nan
flow_3_174,1567.0,nan
flow_1_174,1567.0,nan
flow_2_174,1567.0,nan
flow_0_174,1567.0,nan
flow_2_175,1576.0,nan
flow_1_175,1576.0,nan
flow_0_175,1576.0,nan
flow_3_175,1576.0,nan
flow_1_176,1585.0,nan
flow_2_176,1585.0,nan
flow_0_176,1585.0,nan
flow_3_176,1585.0,nan
flow_2_177,1594.0,nan
flow_1_177,1594.0,nan
flow_3_177,1594.0,nan
flow_0_177,1594.0,nan
flow_3_178,1603.0,nan
flow_0_178,1603.0,nan
flow_2_178,1603.0,nan
flow_1_178,1603.0,nan
flow_0_179,1612.0,nan
flow_1_179,1612.0,nan
flow_3_179,1612.0,nan
flow_2_179,1612.0,nan
flow_0_180,1621.0,nan
flow_3_180,1621.0,nan
flow_1_180,1621.0,nan
flow_2_180,1621.0,nan
flow_1_181,1630.0,nan
flow_2_181,1630.0,nan
flow_0_181,1630.0,nan
flow_3_181,1630.0,nan
flow_0_182,1639.0,nan
flow_2_182,1639.0,nan
flow_3_182,1639.0,nan
flow_1_182,1639.0,nan
flow_3_183,1648.0,nan
flow_1_183,1648.0,nan
flow_0_183,1648.0,nan
flow_2_183,1648.0,nan
flow_3_184,1657.0,nan
flow_2_184,1657.0,nan
flow_1_184,1657.0,nan
flow_0_184,1657.0,nan
flow_3_185,1666.0,nan
flow_0_185,1666.0,nan
flow_1_185,1666.0,nan
flow_2_185,1666.0,nan
flow_2_186,1675.0,nan
flow_1_186,1675.0,nan
flow_3_186,1675.0,nan
flow_0_186,1675.0,nan
flow_2_187,1684.0,nan
flow_1_187,1684.0,nan
flow_3_187,1684.0,nan
flow_0_187,1684.0,nan
flow_2_188,1693.0,nan
flow_3_188,1693.0,nan
flow_0_188,1693.0,nan
flow_1_188,1693.0,nan
flow_0_189,1702.0,nan
flow_3_189,1702.0,nan
flow_1_189,1702.0,nan
flow_2_189,1702.0,nan
flow_0_190,1711.0,nan
flow_3_190,1711.0,nan
flow_1_190,1711.0,nan
flow_2_190,1711.0,nan
flow_2_191,1720.0,nan
flow_0_191,1720.0,nan
flow_1_191,1720.0,nan
flow_3_191,1720.0,nan
flow_2_192,1729.0,nan
flow_3_192,1729.0,nan
flow_0_192,1729.0,nan
flow_1_192,1729.0,nan
flow_2_193,1738.0,nan
flow_1_193,1738.0,nan
flow_3_193,1738.0,nan
flow_0_193,1738.0,nan
flow_3_194,1747.0,nan
flow_0_194,1747.0,nan
flow_2_194,1747.0,nan
flow_1_194,1747.0,nan
flow_2_195,1756.0,nan
flow_0_195,1756.0,nan
flow_3_195,1756.0,nan
flow_1_195,1756.0,nan
flow_3_196,1765.0,nan
flow_0_196,1765.0,nan
flow_1_196,1765.0,nan
flow_2_196,1765.0,nan
flow_0_197,1774.0,nan
flow_2_197,1774.0,nan
flow_1_197,1774.0,nan
flow_3_197,1774.0,nan
flow_0_198,1783.0,nan
flow_3_198,1783.0,nan
flow_1_198,1783.0,nan
flow_2_198,1783.0,nan
flow_2_199,1792.0,nan
flow_3_199,1792.0,nan
flow_1_199,1792.0,nan
flow_0_199,1792.0,nan
flow_3_200,1801.0,nan
flow_1_200,1801.0,nan
flow_2_200,1801.0,nan
flow_0_200,1801.0,nan
flow_1_201,1810.0,nan
flow_3_201,1810.0,nan
flow_0_201,1810.0,nan
flow_2_201,1810.0,nan
flow_0_202,1819.0,nan
flow_3_202,1819.0,nan
flow_2_202,1819.0,nan
flow_1_202,1819.0,nan
flow_3_203,1828.0,nan
flow_0_203,1828.0,nan
flow_2_203,1828.0,nan
flow_1_203,1828.0,nan
flow_1_204,1837.0,nan
flow_0_204,1837.0,nan
flow_3_204,1837.0,nan
flow_2_204,1837.0,nan
flow_1_205,1846.0,nan
flow_0_205,1846.0,nan
flow_3_205,1846.0,nan
flow_2_205,1846.0,nan
flow_1_206,1855.0,nan
flow_3_206,1855.0,nan
flow_2_206,1855.0,nan
flow_0_206,1855.0,nan
flow_1_207,1864.0,nan
flow_0_207,1864.0,nan
flow_2_207,1864.0,nan
flow_3_207,1864.0,nan
flow_3_208,1873.0,nan
flow_2_208,1873.0,nan
flow_0_208,1873.0,nan
flow_1_208,1873.0,nan
flow_2_209,1882.0,nan
flow_0_209,1882.0,nan
flow_1_209,1882.0,nan
flow_3_209,1882.0,nan
flow_3_210,1891.0,nan
flow_2_210,1891.0,nan
flow_1_210,1891.0,nan
flow_0_210,1891.0,nan
flow_3_211,1900.0,nan
flow_2_211,1900.0,nan
flow_1_211,1900.0,nan
